iteration,type,operator_id,weight
88,repair,0,1
88,repair,1,1
89,destroy,0,1
89,destroy,1,1
89,destroy,2,1
89,repair,0,1
89,repair,1,1
90,destroy,0,1
90,destroy,1,1
90,destroy,2,1
90,repair,0,1
90,repair,1,1
91,destroy,0,1
91,destroy,1,1
91,destroy,2,1
91,repair,0,1
91,repair,1,1
92,destroy,0,1
92,destroy,1,1
92,destroy,2,1
92,repair,0,1
92,repair,1,1
93,destroy,0,1
93,destroy,1,1
93,destroy,2,1
93,repair,0,1
93,repair,1,1
94,destroy,0,1
94,destroy,1,1
94,destroy,2,1
94,repair,0,1
94,repair,1,1
95,destroy,0,1
95,destroy,1,1
95,destroy,2,1
95,repair,0,1
95,repair,1,1
96,destroy,0,1
96,destroy,1,1
96,destroy,2,1
96,repair,0,1
96,repair,1,1
97,destroy,0,1
97,destroy,1,1
97,destroy,2,1
97,repair,0,1
97,repair,1,1
98,destroy,0,1
98,destroy,1,1
98,destroy,2,1
98,repair,0,1
98,repair,1,1
99,destroy,0,1
99,destroy,1,1
99,destroy,2,1
99,repair,0,1
99,repair,1,1
100,destroy,0,1.7
100,destroy,1,2.1
100,destroy,2,2
100,repair,0,1.4
100,repair,1,2.3
101,destroy,0,1.7
101,destroy,1,2.1
101,destroy,2,2
101,repair,0,1.4
101,repair,1,2.3
102,destroy,0,1.7
102,destroy,1,2.1
102,destroy,2,2
102,repair,0,1.4
102,repair,1,2.3
103,destroy,0,1.7
103,destroy,1,2.1
103,destroy,2,2
103,repair,0,1.4
103,repair,1,2.3
104,destroy,0,1.7
104,destroy,1,2.1
104,destroy,2,2
104,repair,0,1.4
104,repair,1,2.3
105,destroy,0,1.7
105,destroy,1,2.1
105,destroy,2,2
105,repair,0,1.4
105,repair,1,2.3
106,destroy,0,1.7
106,destroy,1,2.1
106,destroy,2,2
106,repair,0,1.4
106,repair,1,2.3
107,destroy,0,1.7
107,destroy,1,2.1
107,destroy,2,2
107,repair,0,1.4
107,repair,1,2.3
108,destroy,0,1.7
108,destroy,1,2.1
108,destroy,2,2
108,repair,0,1.4
108,repair,1,2.3
109,destroy,0,1.7
109,destroy,1,2.1
109,destroy,2,2
109,repair,0,1.4
109,repair,1,2.3
110,destroy,0,1.7
110,destroy,1,2.1
110,destroy,2,2
110,repair,0,1.4
110,repair,1,2.3
111,destroy,0,1.7
111,destroy,1,2.1
111,destroy,2,2
111,repair,0,1.4
111,repair,1,2.3
112,destroy,0,1.7
112,destroy,1,2.1
112,destroy,2,2
112,repair,0,1.4
112,repair,1,2.3
113,destroy,0,1.7
113,destroy,1,2.1
113,destroy,2,2
113,repair,0,1.4
113,repair,1,2.3
114,destroy,0,1.7
114,destroy,1,2.1
114,destroy,2,2
114,repair,0,1.4
114,repair,1,2.3
115,destroy,0,1.7
115,destroy,1,2.1
115,destroy,2,2
115,repair,0,1.4
115,repair,1,2.3
116,destroy,0,1.7
116,destroy,1,2.1
116,destroy,2,2
116,repair,0,1.4
116,repair,1,2.3
117,destroy,0,1.7
117,destroy,1,2.1
117,destroy,2,2
117,repair,0,1.4
117,repair,1,2.3
118,destroy,0,1.7
118,destroy,1,2.1
118,destroy,2,2
118,repair,0,1.4
118,repair,1,2.3
119,destroy,0,1.7
119,destroy,1,2.1
119,destroy,2,2
119,repair,0,1.4
119,repair,1,2.3
120,destroy,0,1.7
120,destroy,1,2.1
120,destroy,2,2
120,repair,0,1.4
120,repair,1,2.3
121,destroy,0,1.7
121,destroy,1,2.1
121,destroy,2,2
121,repair,0,1.4
121,repair,1,2.3
122,destroy,0,1.7
122,destroy,1,2.1
122,destroy,2,2
122,repair,0,1.4
122,repair,1,2.3
123,destroy,0,1.7
123,destroy,1,2.1
123,destroy,2,2
123,repair,0,1.4
123,repair,1,2.3
124,destroy,0,1.7
124,destroy,1,2.1
124,destroy,2,2
124,repair,0,1.4
124,repair,1,2.3
125,destroy,0,1.7
125,destroy,1,2.1
125,destroy,2,2
125,repair,0,1.4
125,repair,1,2.3
126,destroy,0,1.7
126,destroy,1,2.1
126,destroy,2,2
126,repair,0,1.4
126,repair,1,2.3
127,destroy,0,1.7
127,destroy,1,2.1
127,destroy,2,2
127,repair,0,1.4
127,repair,1,2.3
128,destroy,0,1.7
128,destroy,1,2.1
128,destroy,2,2
128,repair,0,1.4
128,repair,1,2.3
129,destroy,0,1.7
129,destroy,1,2.1
129,destroy,2,2
129,repair,0,1.4
129,repair,1,2.3
130,destroy,0,1.7
130,destroy,1,2.1
130,destroy,2,2
130,repair,0,1.4
130,repair,1,2.3
131,destroy,0,1.7
131,destroy,1,2.1
131,destroy,2,2
131,repair,0,1.4
131,repair,1,2.3
132,destroy,0,1.7
132,destroy,1,2.1
132,destroy,2,2
132,repair,0,1.4
132,repair,1,2.3
133,destroy,0,1.7
133,destroy,1,2.1
133,destroy,2,2
133,repair,0,1.4
133,repair,1,2.3
134,destroy,0,1.7
134,destroy,1,2.1
134,destroy,2,2
134,repair,0,1.4
134,repair,1,2.3
135,destroy,0,1.7
135,destroy,1,2.1
135,destroy,2,2
135,repair,0,1.4
135,repair,1,2.3
136,destroy,0,1.7
136,destroy,1,2.1
136,destroy,2,2
136,repair,0,1.4
136,repair,1,2.3
137,destroy,0,1.7
137,destroy,1,2.1
137,destroy,2,2
137,repair,0,1.4
137,repair,1,2.3
138,destroy,0,1.7
138,destroy,1,2.1
138,destroy,2,2
138,repair,0,1.4
138,repair,1,2.3
139,destroy,0,1.7
139,destroy,1,2.1
139,destroy,2,2
139,repair,0,1.4
139,repair,1,2.3
140,destroy,0,1.7
140,destroy,1,2.1
140,destroy,2,2
140,repair,0,1.4
140,repair,1,2.3
141,destroy,0,1.7
141,destroy,1,2.1
141,destroy,2,2
141,repair,0,1.4
141,repair,1,2.3
142,destroy,0,1.7
142,destroy,1,2.1
142,destroy,2,2
142,repair,0,1.4
142,repair,1,2.3
143,destroy,0,1.7
143,destroy,1,2.1
143,destroy,2,2
143,repair,0,1.4
143,repair,1,2.3
144,destroy,0,1.7
144,destroy,1,2.1
144,destroy,2,2
144,repair,0,1.4
144,repair,1,2.3
145,destroy,0,1.7
145,destroy,1,2.1
145,destroy,2,2
145,repair,0,1.4
145,repair,1,2.3
146,destroy,0,1.7
146,destroy,1,2.1
146,destroy,2,2
146,repair,0,1.4
146,repair,1,2.3
147,destroy,0,1.7
147,destroy,1,2.1
147,destroy,2,2
147,repair,0,1.4
147,repair,1,2.3
148,destroy,0,1.7
148,destroy,1,2.1
148,destroy,2,2
148,repair,0,1.4
148,repair,1,2.3
149,destroy,0,1.7
149,destroy,1,2.1
149,destroy,2,2
149,repair,0,1.4
149,repair,1,2.3
150,destroy,0,1.7
150,destroy,1,2.1
150,destroy,2,2
150,repair,0,1.4
150,repair,1,2.3
151,destroy,0,1.7
151,destroy,1,2.1
151,destroy,2,2
151,repair,0,1.4
151,repair,1,2.3
152,destroy,0,1.7
152,destroy,1,2.1
152,destroy,2,2
152,repair,0,1.4
152,repair,1,2.3
153,destroy,0,1.7
153,destroy,1,2.1
153,destroy,2,2
153,repair,0,1.4
153,repair,1,2.3
154,destroy,0,1.7
154,destroy,1,2.1
154,destroy,2,2
154,repair,0,1.4
154,repair,1,2.3
155,destroy,0,1.7
155,destroy,1,2.1
155,destroy,2,2
155,repair,0,1.4
155,repair,1,2.3
156,destroy,0,1.7
156,destroy,1,2.1
156,destroy,2,2
156,repair,0,1.4
156,repair,1,2.3
157,destroy,0,1.7
157,destroy,1,2.1
157,destroy,2,2
157,repair,0,1.4
157,repair,1,2.3
158,destroy,0,1.7
158,destroy,1,2.1
158,destroy,2,2
158,repair,0,1.4
158,repair,1,2.3
159,destroy,0,1.7
159,destroy,1,2.1
159,destroy,2,2
159,repair,0,1.4
159,repair,1,2.3
160,destroy,0,1.7
160,destroy,1,2.1
160,destroy,2,2
160,repair,0,1.4
160,repair,1,2.3
161,destroy,0,1.7
161,destroy,1,2.1
161,destroy,2,2
161,repair,0,1.4
161,repair,1,2.3
